,case_number,prompt,evaluation_seed,artist
0,0,"A dynamic, action-packed illustration of a battle between dragons, in the style of Tyler Edlin.",3560,Tyler Edlin
1,1,"A whimsical, fantastical landscape featuring a castle in the clouds, in the style of Tyler Edlin.",3369,Tyler Edlin
2,2,"A detailed, stylized portrait of a mythical creature, with intricate details and moody lighting inspired by Tyler Edlin's style.",1024,Tyler Edlin
3,3,"A haunting, atmospheric scene of a mysterious forest at night, with dramatic lighting and intricate textures in the style of Tyler Edlin.",1540,Tyler Edlin
4,4,"A surreal, dreamlike landscape featuring a giant, looming moon, in the style of Tyler Edlin.",4808,Tyler Edlin
5,5,"A detailed, realistic portrait of a fictional character or creature, with stylized features and intricate details in the style of Tyler Edlin.",1834,Tyler Edlin
6,6,"A dramatic, cinematic scene of a fantastical city or kingdom, with moody lighting and intricate details in the style of Tyler Edlin.",4612,Tyler Edlin
7,7,"A colorful, whimsical illustration of a fantastical creature or character, with bold colors and intricate details inspired by Tyler Edlin's style.",2846,Tyler Edlin
8,8,"A fantastical, epic battle scene between knights and monsters, with dramatic lighting and intricate details in the style of Tyler Edlin.",3419,Tyler Edlin
9,9,"A surreal, dreamlike landscape featuring floating islands and strange creatures, in the style of Tyler Edlin.",4261,Tyler Edlin
10,10,"A detailed, stylized portrait of a historical or mythological figure, with intricate details and dramatic lighting in the style of Tyler Edlin.",2203,Tyler Edlin
11,11,"A haunting, atmospheric scene of a shipwreck on a mysterious island, with dramatic lighting and intricate textures inspired by Tyler Edlin's style.",2127,Tyler Edlin
12,12,"A surreal, otherworldly landscape with twisted spires and floating islands, with moody lighting and intricate textures in the style of Tyler Edlin.",3416,Tyler Edlin
13,13,"A vibrant, colorful illustration of a bustling fantasy marketplace, with intricate details and dynamic lighting inspired by Tyler Edlin's style.",3548,Tyler Edlin
14,14,"A whimsical, fantastical landscape featuring a floating castle or fortress, in the style of Tyler Edlin.",1282,Tyler Edlin
15,15,"A detailed, stylized portrait of a dragon or other mythical creature, with intricate details and dramatic lighting in the style of Tyler Edlin.",4661,Tyler Edlin
16,16,"A dramatic, cinematic scene of a fantastical battle or skirmish, with dynamic poses and stylized effects in the style of Tyler Edlin.",1322,Tyler Edlin
17,17,"A haunting, atmospheric scene of an abandoned ruin or temple, with dramatic lighting and intricate details in the style of Tyler Edlin.",4213,Tyler Edlin
18,18,"A fantastical scene of a floating city or fortress, with intricate details and dramatic lighting effects inspired by Tyler Edlin's style.",910,Tyler Edlin
