,case_number,prompt,evaluation_seed,artist
0,0,Tyler Edlin-inspired artwork of a mystical forest,310,Tyler Edlin
1,1,Create a Tyler Edlin-inspired portrait of a fantasy character,3232,Tyler Edlin
2,2,A Tyler Edlin-inspired cityscape at night,808,Tyler Edlin
3,3,Design a futuristic vehicle with a Tyler Edlin touch,882,Tyler Edlin
4,4,An underwater world with Tyler Edlin-inspired creatures,1824,Tyler Edlin
5,5,A Tyler Edlin-inspired digital painting of a dragon,3021,Tyler Edlin
6,6,Create a Tyler Edlin-inspired illustration of a mythical creature,2999,Tyler Edlin
7,7,A Tyler Edlin-inspired sci-fi landscape with floating islands,1349,Tyler Edlin
8,8,Design a Tyler Edlin-inspired fantasy castle,2261,Tyler Edlin
9,9,A Tyler Edlin-inspired portrait of a sci-fi character,2047,Tyler Edlin
10,10,Create a Tyler Edlin-inspired scene of a space battle,4066,Tyler Edlin
11,11,A Tyler Edlin-inspired landscape with ancient ruins,4638,Tyler Edlin
12,12,Design a Tyler Edlin-inspired creature from another planet,727,Tyler Edlin
13,13,A Tyler Edlin-inspired illustration of a steampunk world,3398,Tyler Edlin
14,14,Create a Tyler Edlin-inspired portrait of a warrior,3566,Tyler Edlin
15,15,A Tyler Edlin-inspired depiction of a dystopian future,3402,Tyler Edlin
16,16,Design a Tyler Edlin-inspired futuristic city,2365,Tyler Edlin
17,17,A Tyler Edlin-inspired illustration of a mythical beast,1380,Tyler Edlin
18,18,Create a Tyler Edlin-inspired landscape of an alien planet,4462,Tyler Edlin
19,19,A Tyler Edlin-inspired illustration of a post-apocalyptic world,2466,Tyler Edlin
20,20,A Thomas Kinkade-inspired painting of a peaceful countryside,3162,Thomas Kinkade
21,21,Create a Thomas Kinkade-inspired winter wonderland,554,Thomas Kinkade
22,22,A Thomas Kinkade-inspired depiction of a quaint village,929,Thomas Kinkade
23,23,Design a Thomas Kinkade-inspired cottage in the woods,831,Thomas Kinkade
24,24,A Thomas Kinkade-inspired painting of a serene lakeside,2167,Thomas Kinkade
25,25,Create a Thomas Kinkade-inspired scene of a charming town,2109,Thomas Kinkade
26,26,A Thomas Kinkade-inspired painting of a tranquil forest,680,Thomas Kinkade
27,27,Design a Thomas Kinkade-inspired garden with a cozy cottage,4222,Thomas Kinkade
28,28,A Thomas Kinkade-inspired painting of a cozy cabin in the snow,1573,Thomas Kinkade
29,29,Create a Thomas Kinkade-inspired depiction of a lighthouse,2672,Thomas Kinkade
30,30,A Thomas Kinkade-inspired painting of a peaceful harbor,1040,Thomas Kinkade
31,31,Design a Thomas Kinkade-inspired cottage by the sea,2920,Thomas Kinkade
32,32,A Thomas Kinkade-inspired painting of a quaint street,2290,Thomas Kinkade
33,33,Create a Thomas Kinkade-inspired depiction of a peaceful church,3574,Thomas Kinkade
34,34,A Thomas Kinkade-inspired painting of a tranquil stream,3050,Thomas Kinkade
35,35,Design a Thomas Kinkade-inspired painting of a magical forest,3987,Thomas Kinkade
36,36,A Thomas Kinkade-inspired painting of a cozy autumn scene,2373,Thomas Kinkade
37,37,Create a Thomas Kinkade-inspired painting of a serene meadow,3809,Thomas Kinkade
38,38,A Thomas Kinkade-inspired depiction of a peaceful park,506,Thomas Kinkade
39,39,Design a Thomas Kinkade-inspired painting of a charming bridge,886,Thomas Kinkade
40,40,Neon-lit cyberpunk cityscape by Kilian Eng,3313,Kilian Eng
41,41,Interstellar space station by Kilian Eng,2908,Kilian Eng
42,42,Mysterious temple ruins by Kilian Eng,2592,Kilian Eng
43,43,Artificial intelligence character by Kilian Eng,2527,Kilian Eng
44,44,Science fiction book cover by Kilian Eng,4762,Kilian Eng
45,45,Otherworldly landscape by Kilian Eng,4266,Kilian Eng
46,46,Robotic creature design by Kilian Eng,3463,Kilian Eng
47,47,Fantasy knight armor by Kilian Eng,4357,Kilian Eng
48,48,Cybernetic plant life by Kilian Eng,1920,Kilian Eng
49,49,Vaporwave-inspired digital art by Kilian Eng,892,Kilian Eng
50,50,Retro futuristic vehicle design by Kilian Eng,3845,Kilian Eng
51,51,Cosmic horror illustration by Kilian Eng,4714,Kilian Eng
52,52,Galactic exploration scene by Kilian Eng,4716,Kilian Eng
53,53,Alien planet ecosystem by Kilian Eng,3346,Kilian Eng
54,54,Post-apocalyptic sci-fi landscape by Kilian Eng,1897,Kilian Eng
55,55,Magical cyberspace portal by Kilian Eng,4669,Kilian Eng
56,56,Steampunk airship design by Kilian Eng,152,Kilian Eng
57,57,Robotic exosuit by Kilian Eng,1556,Kilian Eng
58,58,Abstract sci-fi landscape by Kilian Eng,888,Kilian Eng
59,59,Cyberpunk fashion illustration by Kilian Eng,4531,Kilian Eng
60,60,Portrait of a woman with floral crown by Kelly McKernan,2030,Kelly McKernan
61,61,Whimsical fairy tale scene by Kelly McKernan,4087,Kelly McKernan
62,62,Figure in flowing dress by Kelly McKernan,866,Kelly McKernan
63,63,Surreal dreamlike landscape by Kelly McKernan,4689,Kelly McKernan
64,64,Magical underwater scene by Kelly McKernan,25,Kelly McKernan
65,65,Folklore-inspired creature design by Kelly McKernan,3580,Kelly McKernan
66,66,Fantasy forest with glowing mushrooms by Kelly McKernan,3225,Kelly McKernan
67,67,Emotive portrait with abstract elements by Kelly McKernan,1681,Kelly McKernan
68,68,Fairytale princess illustration by Kelly McKernan,4160,Kelly McKernan
69,69,Digital painting of a mermaid by Kelly McKernan,2550,Kelly McKernan
70,70,Enchanting garden scene by Kelly McKernan,4939,Kelly McKernan
71,71,Animal spirit guide illustration by Kelly McKernan,4050,Kelly McKernan
72,72,Majestic dragon illustration by Kelly McKernan,47,Kelly McKernan
73,73,Ethereal floating islands by Kelly McKernan,1374,Kelly McKernan
74,74,Whimsical creatures with floral elements by Kelly McKernan,4463,Kelly McKernan
75,75,Surreal portrait with celestial elements by Kelly McKernan,1302,Kelly McKernan
