,case_number,prompt,evaluation_seed,artist
0,0,"A woman submerged in water, surrounded by flowers in the style of Kelly McKernan",1597,Kelly Mckernan
1,1,A mermaid gazing up at the stars in the style of Kelly McKernan,3778,Kelly Mckernan
2,2,"A girl sitting in a field of wheat, with birds flying around her in the style of Kelly McKernan",2246,Kelly Mckernan
3,3,"A couple dancing in a ballroom, surrounded by ornate decorations in the style of Kelly McKernan",598,Kelly Mckernan
4,4,A forest with a hidden fairy village in the style of Kelly McKernan,1658,Kelly Mckernan
5,5,"A girl with butterfly wings, floating above a field of flowers in the style of Kelly McKernan",3006,Kelly Mckernan
6,6,"A woman sitting on a windowsill, looking out at a city skyline in the style of Kelly McKernan",335,Kelly Mckernan
7,7,A girl reading a book in a library filled with floating books in the style of Kelly McKernan,3719,Kelly Mckernan
8,8,"A woman with a crown of thorns, surrounded by symbols of rebirth and growth in the style of Kelly McKernan",1450,Kelly Mckernan
9,9,"A woman holding a bouquet of flowers, with petals falling around her in the style of Kelly McKernan",4322,Kelly Mckernan
10,10,A girl with a fox companion in the style of Kelly McKernan,179,Kelly Mckernan
11,11,"A woman with long hair, surrounded by ravens in the style of Kelly McKernan",904,Kelly Mckernan
12,12,A girl walking through a dark forest with a lantern in the style of Kelly McKernan,4580,Kelly Mckernan
13,13,A woman with a moon and stars in her hair in the style of Kelly McKernan,3672,Kelly Mckernan
14,14,"A girl with a sword, standing on a cliff overlooking the ocean in the style of Kelly McKernan",1047,Kelly Mckernan
15,15,A woman with a deer antlers and flowers in her hair in the style of Kelly McKernan,2705,Kelly Mckernan
16,16,"A girl with a black cat, standing in front of a full moon in the style of Kelly McKernan",3317,Kelly Mckernan
17,17,A woman with a key and a bird in the style of Kelly McKernan,2886,Kelly Mckernan
18,18,"A girl with a red hood, walking through the woods in the style of Kelly McKernan",2737,Kelly Mckernan
