,case_number,evaluation_seed,prompt,label_idx,label_str
0,0,41955,image of tench,0,tench
1,1,22258,image of  Tinca tinca,0, Tinca tinca
2,2,26185,image of goldfish,1,goldfish
3,3,25854,image of  Carassius auratus,1, Carassius auratus
4,4,21728,image of great white shark,2,great white shark
5,5,37521,image of  white shark,2, white shark
6,6,47289,image of  man-eater,2, man-eater
7,7,10778,image of  man-eating shark,2, man-eating shark
8,8,38572,image of  Carcharodon carcharias,2, Carcharodon carcharias
9,9,7540,image of tiger shark,3,tiger shark
10,10,20168,image of  Galeocerdo cuvieri,3, Galeocerdo cuvieri
11,11,7863,image of hammerhead,4,hammerhead
12,12,29340,image of  hammerhead shark,4, hammerhead shark
13,13,39602,image of electric ray,5,electric ray
14,14,26657,image of  crampfish,5, crampfish
15,15,49144,image of  numbfish,5, numbfish
16,16,15109,image of  torpedo,5, torpedo
17,17,16211,image of stingray,6,stingray
18,18,35960,image of cock,7,cock
19,19,23138,image of hen,8,hen
20,20,12804,image of ostrich,9,ostrich
21,21,1816,image of  Struthio camelus,9, Struthio camelus
22,22,28833,image of brambling,10,brambling
23,23,36335,image of  Fringilla montifringilla,10, Fringilla montifringilla
24,24,44066,image of goldfinch,11,goldfinch
25,25,45083,image of  Carduelis carduelis,11, Carduelis carduelis
26,26,31794,image of house finch,12,house finch
27,27,26411,image of  linnet,12, linnet
28,28,14561,image of  Carpodacus mexicanus,12, Carpodacus mexicanus
29,29,47048,image of junco,13,junco
30,30,8214,image of  snowbird,13, snowbird
31,31,33798,image of indigo bunting,14,indigo bunting
32,32,579,image of  indigo finch,14, indigo finch
33,33,8823,image of  indigo bird,14, indigo bird
34,34,37755,image of  Passerina cyanea,14, Passerina cyanea
35,35,7214,image of robin,15,robin
36,36,4226,image of  American robin,15, American robin
37,37,8144,image of  Turdus migratorius,15, Turdus migratorius
38,38,23569,image of bulbul,16,bulbul
39,39,9586,image of jay,17,jay
40,40,20216,image of magpie,18,magpie
41,41,28612,image of chickadee,19,chickadee
42,42,22026,image of water ouzel,20,water ouzel
43,43,1921,image of  dipper,20, dipper
44,44,19987,image of kite,21,kite
45,45,25326,image of bald eagle,22,bald eagle
46,46,12253,image of  American eagle,22, American eagle
47,47,45303,image of  Haliaeetus leucocephalus,22, Haliaeetus leucocephalus
48,48,23403,image of vulture,23,vulture
49,49,37136,image of great grey owl,24,great grey owl
50,50,24114,image of  great gray owl,24, great gray owl
51,51,25800,image of  Strix nebulosa,24, Strix nebulosa
52,52,7200,image of European fire salamander,25,European fire salamander
53,53,45710,image of  Salamandra salamandra,25, Salamandra salamandra
54,54,3520,image of common newt,26,common newt
55,55,48958,image of  Triturus vulgaris,26, Triturus vulgaris
56,56,48511,image of eft,27,eft
57,57,37844,image of spotted salamander,28,spotted salamander
58,58,41404,image of  Ambystoma maculatum,28, Ambystoma maculatum
59,59,1499,image of axolotl,29,axolotl
60,60,4278,image of  mud puppy,29, mud puppy
61,61,46057,image of  Ambystoma mexicanum,29, Ambystoma mexicanum
62,62,5182,image of bullfrog,30,bullfrog
63,63,9980,image of  Rana catesbeiana,30, Rana catesbeiana
64,64,887,image of tree frog,31,tree frog
65,65,5633,image of  tree-frog,31, tree-frog
66,66,27668,image of tailed frog,32,tailed frog
67,67,13585,image of  bell toad,32, bell toad
68,68,10945,image of  ribbed toad,32, ribbed toad
69,69,34523,image of  tailed toad,32, tailed toad
70,70,31143,image of  Ascaphus trui,32, Ascaphus trui
71,71,28565,image of loggerhead,33,loggerhead
72,72,40449,image of  loggerhead turtle,33, loggerhead turtle
73,73,38929,image of  Caretta caretta,33, Caretta caretta
74,74,44408,image of leatherback turtle,34,leatherback turtle
75,75,22401,image of  leatherback,34, leatherback
76,76,45164,image of  leathery turtle,34, leathery turtle
77,77,31780,image of  Dermochelys coriacea,34, Dermochelys coriacea
78,78,43569,image of mud turtle,35,mud turtle
79,79,5187,image of terrapin,36,terrapin
80,80,653,image of box turtle,37,box turtle
81,81,34784,image of  box tortoise,37, box tortoise
82,82,40222,image of banded gecko,38,banded gecko
83,83,23228,image of common iguana,39,common iguana
84,84,31839,image of  iguana,39, iguana
85,85,33895,image of  Iguana iguana,39, Iguana iguana
86,86,4442,image of American chameleon,40,American chameleon
87,87,15249,image of  anole,40, anole
88,88,37974,image of  Anolis carolinensis,40, Anolis carolinensis
89,89,1901,image of whiptail,41,whiptail
90,90,21693,image of  whiptail lizard,41, whiptail lizard
91,91,37722,image of agama,42,agama
92,92,22515,image of frilled lizard,43,frilled lizard
93,93,15941,image of  Chlamydosaurus kingi,43, Chlamydosaurus kingi
94,94,6815,image of alligator lizard,44,alligator lizard
95,95,17681,image of Gila monster,45,Gila monster
96,96,7704,image of  Heloderma suspectum,45, Heloderma suspectum
97,97,28172,image of green lizard,46,green lizard
98,98,14780,image of  Lacerta viridis,46, Lacerta viridis
99,99,49178,image of African chameleon,47,African chameleon
100,100,34812,image of  Chamaeleo chamaeleon,47, Chamaeleo chamaeleon
101,101,44305,image of Komodo dragon,48,Komodo dragon
102,102,16788,image of  Komodo lizard,48, Komodo lizard
103,103,3878,image of  dragon lizard,48, dragon lizard
104,104,46211,image of  giant lizard,48, giant lizard
