,case_number,prompt,evaluation_seed,class
0,0,Image of cassette player,4068,cassette player
1,1,Image of cassette player,4667,cassette player
2,2,Image of cassette player,3410,cassette player
3,3,Image of cassette player,3703,cassette player
4,4,Image of cassette player,4937,cassette player
5,5,Image of cassette player,4001,cassette player
6,6,Image of cassette player,2228,cassette player
7,7,Image of cassette player,1217,cassette player
8,8,Image of cassette player,624,cassette player
9,9,Image of cassette player,4697,cassette player
10,10,Image of chain saw,4373,chain saw
11,11,Image of chain saw,2268,chain saw
12,12,Image of chain saw,104,chain saw
13,13,Image of chain saw,1216,chain saw
14,14,Image of chain saw,643,chain saw
15,15,Image of chain saw,3070,chain saw
16,16,Image of chain saw,2426,chain saw
17,17,Image of chain saw,2158,chain saw
18,18,Image of chain saw,2486,chain saw
19,19,Image of chain saw,1434,chain saw
20,20,Image of church,987,church
21,21,Image of church,682,church
22,22,Image of church,4092,church
23,23,Image of church,4096,church
24,24,Image of church,1467,church
25,25,Image of church,474,church
26,26,Image of church,640,church
27,27,Image of church,3395,church
28,28,Image of church,2373,church
29,29,Image of church,3178,church
30,30,Image of gas pump,432,gas pump
31,31,Image of gas pump,4975,gas pump
32,32,Image of gas pump,4745,gas pump
33,33,Image of gas pump,1790,gas pump
34,34,Image of gas pump,4392,gas pump
35,35,Image of gas pump,1527,gas pump
36,36,Image of gas pump,4490,gas pump
37,37,Image of gas pump,1951,gas pump
38,38,Image of gas pump,3013,gas pump
39,39,Image of gas pump,1887,gas pump
40,40,Image of tench,4889,tench
41,41,Image of tench,2747,tench
42,42,Image of tench,3723,tench
43,43,Image of tench,4717,tench
44,44,Image of tench,3199,tench
45,45,Image of tench,3499,tench
46,46,Image of tench,3710,tench
47,47,Image of tench,3682,tench
48,48,Image of tench,3405,tench
49,49,Image of tench,3726,tench
50,50,Image of garbage truck,4264,garbage truck
51,51,Image of garbage truck,4434,garbage truck
52,52,Image of garbage truck,2925,garbage truck
53,53,Image of garbage truck,1441,garbage truck
54,54,Image of garbage truck,3035,garbage truck
55,55,Image of garbage truck,1590,garbage truck
56,56,Image of garbage truck,4153,garbage truck
57,57,Image of garbage truck,1363,garbage truck
58,58,Image of garbage truck,207,garbage truck
59,59,Image of garbage truck,126,garbage truck
60,60,Image of english springer,4782,english springer
61,61,Image of english springer,1026,english springer
62,62,Image of english springer,4423,english springer
63,63,Image of english springer,639,english springer
64,64,Image of english springer,1316,english springer
65,65,Image of english springer,1780,english springer
66,66,Image of english springer,1330,english springer
67,67,Image of english springer,3695,english springer
68,68,Image of english springer,3010,english springer
69,69,Image of english springer,4249,english springer
70,70,Image of golf ball,1912,golf ball
71,71,Image of golf ball,1761,golf ball
72,72,Image of golf ball,529,golf ball
73,73,Image of golf ball,1905,golf ball
74,74,Image of golf ball,55,golf ball
75,75,Image of golf ball,1513,golf ball
76,76,Image of golf ball,2151,golf ball
77,77,Image of golf ball,3368,golf ball
78,78,Image of golf ball,4837,golf ball
79,79,Image of golf ball,289,golf ball
80,80,Image of parachute,1945,parachute
81,81,Image of parachute,841,parachute
82,82,Image of parachute,3651,parachute
83,83,Image of parachute,404,parachute
84,84,Image of parachute,4071,parachute
85,85,Image of parachute,4829,parachute
86,86,Image of parachute,1322,parachute
87,87,Image of parachute,4084,parachute
88,88,Image of parachute,3242,parachute
89,89,Image of parachute,623,parachute
90,90,Image of french horn,1562,french horn
91,91,Image of french horn,2179,french horn
92,92,Image of french horn,3982,french horn
93,93,Image of french horn,4753,french horn
94,94,Image of french horn,2985,french horn
95,95,Image of french horn,3018,french horn
96,96,Image of french horn,1500,french horn
97,97,Image of french horn,488,french horn
98,98,Image of french horn,371,french horn
99,99,Image of french horn,2387,french horn
